well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,plate
B09,algae,14059,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
B10,algae,64,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
B11,algae,14548,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
C02,algae,7245,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
C03,algae,6475,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
C04,algae,222,C04_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA,6
C05,algae,1245,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
C06,algae,5,C06_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
C07,algae,1167,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
C08,algae,794,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,6
C09,algae,6,C09_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
C10,algae,1085,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
C11,algae,10,C11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
D02,algae,10290,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
D03,algae,18458,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
D04,algae,110,D04_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,6
D05,algae,997,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,6
D06,algae,727,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
D07,algae,397,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,6
D08,algae,4,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,6
D09,algae,2085,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,6
D10,algae,3360,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,6
D11,algae,453,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,6
E02,algae,11648,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
E03,algae,792,E03_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,6
