plate,temperature
47,28
48,28
62,34
67,34
68,34
72,34
73,34
17,16
22,16
27,16
32,22
33,22
37,22
38,22
42,22
43,22
52,28
53,28
57,28
58,28
63,34
12,10
18,16
19,16
2,10
23,16
24,16
28,16
29,16
34,22
35,22
39,22
40,22
44,22
45,22
7,10
79,40
84,40
89,40
20,16
25,16
30,16
80,40
85,40
90,40
13,10
3,10
8,10
14,10
4,10
9,10
10,10
15,10
5,10
