plate,well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note
10,A03,algae,4,NA,NA,NA,NA,NA,NA,NA,NA
10,A04,algae,8,NA,NA,NA,NA,NA,NA,NA,NA
10,B02,algae,15645,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,B03,algae,8847,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,B04,algae,5,B04_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,B05,algae,10780,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,B06,algae,97,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
10,B07,algae,571,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,B08,algae,558,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA
10,B09,algae,6932,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,B10,algae,13,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,B11,algae,9409,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,C02,algae,4522,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,C03,algae,5315,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA
10,C04,algae,168,C04_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA
10,C05,algae,1205,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,C07,algae,1253,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA
10,C08,algae,268,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA
10,C09,algae,3,C09_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,C10,algae,2048,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,C11,algae,6,C11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA
10,D02,algae,7997,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA
10,D03,algae,16861,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA
10,D04,algae,11,D04_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
10,D05,algae,858,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,D06,algae,501,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA
10,D07,algae,141,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA
10,D08,algae,1,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA
