population,temperature,growth,ancestor_id,treatment,note
1,0,0.043593659732899075,anc2,N,NA
1,0.1,0.044665663029757455,anc2,N,NA
1,0.2,0.045754805988593585,anc2,N,NA
1,0.30000000000000004,0.046861311069525464,anc2,N,NA
1,0.4,0.047985403096053224,anc2,N,NA
1,0.5,0.0491273092723784,anc2,N,NA
1,0.6000000000000001,0.05028725920069299,anc2,N,NA
1,0.7000000000000001,0.05146548489843294,anc2,N,NA
1,0.8,0.052662220815491684,anc2,N,NA
1,0.9,0.05387770385138865,anc2,N,NA
1,1,0.05511217337238739,anc2,N,NA
1,1.1,0.056365871228558254,anc2,N,NA
1,1.2000000000000002,0.05763904177078015,anc2,N,NA
1,1.3,0.05893193186767594,anc2,N,NA
1,1.4000000000000001,0.06024479092247531,anc2,N,NA
1,1.5,0.061577870889799935,anc2,N,NA
1,1.6,0.06293142629236449,anc2,N,NA
1,1.7000000000000002,0.06430571423758731,anc2,N,NA
1,1.8,0.0657009944341046,anc2,N,NA
1,1.9000000000000001,0.06711752920818166,anc2,N,NA
1,2,0.06855558352001419,anc2,N,NA
1,2.1,0.07001542497991323,anc2,N,NA
1,2.2,0.07149732386436648,anc2,N,NA
1,2.3000000000000003,0.07300155313196893,anc2,N,NA
1,2.4000000000000004,0.07452838843921532,anc2,N,NA
1,2.5,0.07607810815614702,anc2,N,NA
1,2.6,0.07765099338184552,anc2,N,NA
1,2.7,0.07924732795976452,anc2,N,NA
1,2.8000000000000003,0.08086739849289275,anc2,N,NA
1,2.9000000000000004,0.08251149435873888,anc2,N,NA
1,3,0.08417990772413016,anc2,N,NA
1,3.1,0.08587293355981604,anc2,N,NA
1,3.2,0.08759086965486781,anc2,N,NA
1,3.3000000000000003,0.08933401663086511,anc2,N,NA
1,3.4000000000000004,0.09110267795585969,anc2,N,NA
1,3.5,0.09289715995810738,anc2,N,NA
1,3.6,0.09471777183955751,anc2,N,NA
1,3.7,0.09656482568909093,anc2,N,NA
1,3.8000000000000003,0.09843863649549489,anc2,N,NA
1,3.9000000000000004,0.10033952216016538,anc2,N,NA
1,4,0.10226780350952551,anc2,N,NA
1,4.1000000000000005,0.10422380430714928,anc2,N,NA
1,4.2,0.10620785126557854,anc2,N,NA
1,4.3,0.10822027405782293,anc2,N,NA
1,4.4,0.11026140532852963,anc2,N,NA
1,4.5,0.11233158070481146,anc2,N,NA
1,4.6000000000000005,0.11443113880672094,anc2,N,NA
1,4.7,0.11656042125735715,anc2,N,NA
1,4.800000000000001,0.11871977269259304,anc2,N,NA
1,4.9,0.12090954077040925,anc2,N,NA
1,5,0.12313007617982144,anc2,N,NA
1,5.1000000000000005,0.12538173264938654,anc2,N,NA
1,5.2,0.12766486695527457,anc2,N,NA
1,5.300000000000001,0.1299798389288907,anc2,N,NA
1,5.4,0.13232701146403325,anc2,N,NA
1,5.5,0.13470675052357195,anc2,N,NA
1,5.6000000000000005,0.1371194251456316,anc2,N,NA
1,5.7,0.13956540744926418,anc2,N,NA
1,5.800000000000001,0.14204507263959482,anc2,N,NA
1,5.9,0.14455879901242255,anc2,N,NA
1,6,0.14710696795826225,anc2,N,NA
1,6.1000000000000005,0.14968996396580708,anc2,N,NA
1,6.2,0.1523081746247958,anc2,N,NA
1,6.300000000000001,0.15496199062826607,anc2,N,NA
1,6.4,0.15765180577417603,anc2,N,NA
1,6.5,0.16037801696637363,anc2,N,NA
1,6.6000000000000005,0.16314102421489646,anc2,N,NA
1,6.7,0.16594123063558044,anc2,N,NA
1,6.800000000000001,0.16877904244895905,anc2,N,NA
1,6.9,0.17165486897843063,anc2,N,NA
1,7,0.17456912264767446,anc2,N,NA
1,7.1000000000000005,0.17752221897729265,anc2,N,NA
1,7.2,0.18051457658065737,anc2,N,NA
1,7.300000000000001,0.18354661715893952,anc2,N,NA
1,7.4,0.18661876549529707,anc2,N,NA
1,7.5,0.18973144944819928,anc2,N,NA
1,7.6000000000000005,0.19288509994386288,anc2,N,NA
1,7.7,0.196080150967776,anc2,N,NA
1,7.800000000000001,0.19931703955528499,anc2,N,NA
1,7.9,0.20259620578121817,anc2,N,NA
1,8,0.20591809274852205,anc2,N,NA
1,8.1,0.20928314657588123,anc2,N,NA
1,8.200000000000001,0.2126918163842973,anc2,N,NA
1,8.3,0.2161445542825977,anc2,N,NA
1,8.4,0.21964181535184663,anc2,N,NA
1,8.5,0.22318405762862972,anc2,N,NA
1,8.6,0.22677174208718268,anc2,N,NA
1,8.700000000000001,0.2304053326203338,anc2,N,NA
1,8.8,0.23408529601923053,anc2,N,NA
1,8.9,0.23781210195181787,anc2,N,NA
1,9,0.24158622294003776,anc2,N,NA
1,9.1,0.24540813433571643,anc2,N,NA
1,9.200000000000001,0.24927831429510625,anc2,N,NA
1,9.3,0.2531972437520489,anc2,N,NA
1,9.4,0.25716540638972524,anc2,N,NA
1,9.5,0.26118328861095613,anc2,N,NA
1,9.600000000000001,0.2652513795070191,anc2,N,NA
1,9.700000000000001,0.2693701708249424,anc2,N,NA
1,9.8,0.2735401569332427,anc2,N,NA
1,9.9,0.2777618347860635,anc2,N,NA
1,10,0.282035703885679,anc2,N,NA
1,10.100000000000001,0.286362266243323,anc2,N,NA
1,10.200000000000001,0.29074202633829954,anc2,N,NA
1,10.3,0.29517549107533897,anc2,N,NA
1,10.4,0.2996631697401529,anc2,N,NA
1,10.5,0.30420557395314685,anc2,N,NA
1,10.600000000000001,0.30880321762124696,anc2,N,NA
1,10.700000000000001,0.3134566168877956,anc2,N,NA
1,10.8,0.31816629008047015,anc2,N,NA
