file_name,file_path,plate_well,plate,well,fsc_a,ssc_a,fl1_a,fl2_a,fl3_a,fl4_a,fsc_h,ssc_h,fl1_h,fl2_h,fl3_h,fl4_h,width,time
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,72423,114539,283,460,856,293,111938,176545,191,292,731,298,41,156
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,43993,4800,159,0,448,106,57864,6152,242,0,220,113,39,156
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,450511,29592,0,101,353,55,537482,38942,75,162,491,201,67,159
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,61919,5500,259,224,323,98,106282,8373,160,231,206,178,38,159
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,44069,4039,327,85,211,77,70419,6510,205,13,96,103,34,159
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,43012,3899,99,0,318,128,77897,6947,112,4,144,155,32,160
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,286998,12349,426,34,835,311,378675,14229,202,85,538,137,65,161
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,97400,7358,4,99,144,197,153744,12389,0,70,74,260,44,161
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,34008,4553,126,259,624,515,58056,7799,107,202,529,403,30,162
flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul-chlamee-acclimated-70/A02,flow-cytometry-data/chlamee-acclimated/50ul/20181120_174537-50ul,70/A02,70,A02,36623,4258,216,107,214,38,58267,6709,124,103,86,169,32,162
