population,temperature,growth,ancestor_id,treatment,note
1,0,0.02267054112673364,anc2,N,NA
1,0.1,0.02360745195718433,anc2,N,NA
1,0.2,0.024562519349525257,anc2,N,NA
1,0.30000000000000004,0.025536018566486993,anc2,N,NA
1,0.4,0.026528228345662035,anc2,N,NA
1,0.5,0.027539430933677223,anc2,N,NA
1,0.6000000000000001,0.02856991212051697,anc2,N,NA
1,0.7000000000000001,0.02961996127399359,anc2,N,NA
1,0.8,0.030689871374359773,anc2,N,NA
1,0.9,0.03177993904905898,anc2,N,NA
1,1,0.03289046460760929,anc2,N,NA
1,1.1,0.03402175207661542,anc2,N,NA
1,1.2000000000000002,0.03517410923490382,anc2,N,NA
1,1.3,0.03634784764877634,anc2,N,NA
1,1.4000000000000001,0.03754328270737603,anc2,N,NA
1,1.5,0.038760733658159886,anc2,N,NA
1,1.6,0.040000523642473126,anc2,N,NA
1,1.7000000000000002,0.04126297973121791,anc2,N,NA
1,1.8,0.042548432960611046,anc2,N,NA
1,1.9000000000000001,0.04385721836802409,anc2,N,NA
1,2,0.0451896750278987,anc2,N,NA
1,2.1,0.046546146087730576,anc2,N,NA
1,2.2,0.0479269788041147,anc2,N,NA
1,2.3000000000000003,0.049332524578844725,anc2,N,NA
1,2.4000000000000004,0.050763138995058264,anc2,N,NA
1,2.5,0.05221918185342039,anc2,N,NA
1,2.6,0.05370101720833766,anc2,N,NA
1,2.7,0.05520901340419319,anc2,N,NA
1,2.8000000000000003,0.05674354311159451,anc2,N,NA
1,2.9000000000000004,0.0583049833636259,anc2,N,NA
1,3,0.05989371559209444,anc2,N,NA
1,3.1,0.061510125663761135,anc2,N,NA
1,3.2,0.06315460391654737,anc2,N,NA
1,3.3000000000000003,0.06482754519570562,anc2,N,NA
1,3.4000000000000004,0.06652934888994452,anc2,N,NA
1,3.5,0.06826041896749752,anc2,N,NA
1,3.6,0.07002116401212348,anc2,N,NA
1,3.7,0.07181199725902782,anc2,N,NA
1,3.8000000000000003,0.07363333663069302,anc2,N,NA
1,3.9000000000000004,0.07548560477260503,anc2,N,NA
1,4,0.07736922908886408,anc2,N,NA
1,4.1000000000000005,0.07928464177766675,anc2,N,NA
1,4.2,0.08123227986664548,anc2,N,NA
1,4.3,0.08321258524805203,anc2,N,NA
1,4.4,0.08522600471377162,anc2,N,NA
1,4.5,0.08727298999015184,anc2,N,NA
1,4.6000000000000005,0.089353997772632407,anc2,N,NA
1,4.7,0.09146948976016024,anc2,N,NA
1,4.800000000000001,0.09361993268937424,anc2,N,NA
1,4.9,0.09580579836854265,anc2,N,NA
1,5,0.09802756371123807,anc2,N,NA
1,5.1000000000000005,0.10028571076973129,anc2,N,NA
1,5.2,0.10258072676808729,anc2,N,NA
1,5.300000000000001,0.10491310413494567,anc2,N,NA
1,5.4,0.10728334053596562,anc2,N,NA
1,5.5,0.109691938905918,anc2,N,NA
1,5.6000000000000005,0.11213940748040394,anc2,N,NA
1,5.7,0.11462625982718011,anc2,N,NA
1,5.800000000000001,0.11715301487707018,anc2,N,NA
1,5.9,0.1197201969544414,anc2,N,NA
1,6,0.12232833580722421,anc2,N,NA
1,6.1000000000000005,0.12497796663645278,anc2,N,NA
1,6.2,0.12766963012530405,anc2,N,NA
1,6.300000000000001,0.13040387246761106,anc2,N,NA
1,6.4,0.13318124539582663,anc2,N,NA
1,6.5,0.1360023062084137,anc2,N,NA
1,6.6000000000000005,0.13886761779663556,anc2,N,NA
1,6.7,0.1417777486707206,anc2,N,NA
1,6.800000000000001,0.1447332729853758,anc2,N,NA
1,6.9,0.14773477056461998,anc2,N,NA
1,7,0.15078282692591,anc2,N,NA
1,7.1000000000000005,0.15387803330353125,anc2,N,NA
1,7.2,0.15702098667122213,anc2,N,NA
1,7.300000000000001,0.1602122897640034,anc2,N,NA
1,7.4,0.16345255109917997,anc2,N,NA
1,7.5,0.16674238499648625,anc2,N,NA
1,7.6000000000000005,0.17008241159733867,anc2,N,NA
1,7.7,0.17347325688316617,anc2,N,NA
1,7.800000000000001,0.1769155526927813,anc2,N,NA
1,7.9,0.18040993673875894,anc2,N,NA
1,8,0.18395705262278642,anc2,N,NA
1,8.1,0.18755754984994824,anc2,N,NA
1,8.200000000000001,0.19121208384190758,anc2,N,NA
1,8.3,0.19492131594894696,anc2,N,NA
1,8.4,0.1986859134608285,anc2,N,NA
1,8.5,0.2025065496164326,anc2,N,NA
1,8.6,0.2063839036121352,anc2,N,NA
1,8.700000000000001,0.21031866060887983,anc2,N,NA
1,8.8,0.214311511737903,anc2,N,NA
1,8.9,0.21836315410506732,anc2,N,NA
1,9,0.22247429079375727,anc2,N,NA
1,9.1,0.2266456308662915,anc2,N,NA
1,9.200000000000001,0.23087788936380438,anc2,N,NA
1,9.3,0.2351717873045473,anc2,N,NA
1,9.4,0.2395280516805621,anc2,N,NA
1,9.5,0.24394741545267273,anc2,N,NA
1,9.600000000000001,0.2484306175437455,anc2,N,NA
1,9.700000000000001,0.2529784028301641,anc2,N,NA
1,9.8,0.25759152213146436,anc2,N,NA
1,9.9,0.26227073219807345,anc2,N,NA
1,10,0.2670167956970966,anc2,N,NA
1,10.100000000000001,0.27183048119609265,anc2,N,NA
1,10.200000000000001,0.27671256314477877,anc2,N,NA
1,10.3,0.2816638218546042,anc2,N,NA
1,10.4,0.28668504347612966,anc2,N,NA
1,10.5,0.2917770199741489,anc2,N,NA
1,10.600000000000001,0.296940549100487,anc2,N,NA
1,10.700000000000001,0.30217643436440894,anc2,N,NA
1,10.8,0.3074854850005709,anc2,N,NA
