file_name,path,well_plate,well,plate,date_time,RFU,plate_key,population,temperature,round,start_time,days,ancestor_id,treatment,note,exponential,N0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate13,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,B02_13,B02,13,2018-11-09T17:28:27Z,4,2,28,34,repeat,2018-11-09T15:48:15Z,0.06958333333333333,anc5,P,NA,yes,4
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate13,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,C02_13,C02,13,2018-11-09T17:28:27Z,9,2,21,34,repeat,2018-11-09T15:48:15Z,0.06958333333333333,anc4,B,NA,yes,9
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate13,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,D02_13,D02,13,2018-11-09T17:28:27Z,9,2,18,34,repeat,2018-11-09T15:48:15Z,0.06958333333333333,anc5,S,NA,yes,9
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate13,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,E02_13,E02,13,2018-11-09T17:28:27Z,9,2,26,34,repeat,2018-11-09T15:48:15Z,0.06958333333333333,anc3,L,NA,yes,9
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate13,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,F02_13,F02,13,2018-11-09T17:28:27Z,4,2,28,34,repeat,2018-11-09T15:48:15Z,0.06958333333333333,anc5,P,NA,yes,4
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate13,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,G02_13,G02,13,2018-11-09T17:28:27Z,5,2,27,34,repeat,2018-11-09T15:48:15Z,0.06958333333333333,anc3,N,NA,yes,5
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate20,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,B02_20,B02,20,2018-11-09T18:25:28Z,9,3,15,34,repeat,2018-11-09T15:48:15Z,0.10917824074074074,anc4,S,NA,yes,9
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate20,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,C02_20,C02,20,2018-11-09T18:25:28Z,7,3,10,34,repeat,2018-11-09T15:48:15Z,0.10917824074074074,anc2,L,NA,yes,7
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate20,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,D02_20,D02,20,2018-11-09T18:25:28Z,6,3,29,34,repeat,2018-11-09T15:48:15Z,0.10917824074074074,anc3,P,NA,yes,6
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate20,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,E02_20,E02,20,2018-11-09T18:25:28Z,10,3,anc4,34,repeat,2018-11-09T15:48:15Z,0.10917824074074074,anc4,none,NA,yes,10
