file_name,path,plate,well,date_time,RFU,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,temperature,population_id,round,keep
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,B02,2018-09-26T23:30:23Z,14,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25,12_B02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,C02,2018-09-26T23:30:23Z,14,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25,12_C02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,D02,2018-09-26T23:30:23Z,11,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25,12_D02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,E02,2018-09-26T23:30:23Z,10,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25,12_E02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,F02,2018-09-26T23:30:23Z,8,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,Anc4,NA,25,12_F02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,G02,2018-09-26T23:30:23Z,10,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25,12_G02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate16,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,16,B02,2018-09-26T23:59:31Z,6,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,35,16_B02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate16,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,16,C02,2018-09-26T23:59:31Z,12,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,35,16_C02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate16,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,16,D02,2018-09-26T23:59:31Z,18,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,35,16_D02,repeat,yes
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate16,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,16,E02,2018-09-26T23:59:31Z,15,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,35,16_E02,repeat,yes
