population,treatment,ancestor_id,topt,tmin,tmax,rsqr,a,b,w,s
1,N,anc2,33.22388284249075,-7.058195684757329,39.79267326311628,0.9890599285355457,-2.463071063961704,0.12741009350367666,46.85086894787361,-2.1671419791245543
10,L,anc2,32.724029751292925,-53.04874131662466,39.64785381888443,0.8835861795839287,-2.409571899810946,0.13277014596767686,92.69659513550909,-1.3323731513066177
11,N,anc4,32.363419959606375,-3.1867788526426226,39.72682219854479,0.9730575657801998,-2.013491976746262,0.1076775491673635,42.91360105118741,-1.8419265332938506
14,S,anc2,34.572288056797376,-36.69213901978576,39.82925926187993,0.8719580188706939,-3.473818208568342,0.17619135593870458,76.5213982816657,-0.734520486477487
15,S,anc4,33.17045082893272,-52.5443336406822,39.75898816688079,0.8826759274708298,-2.272874812772512,0.1401121570652815,92.30332180756298,-0.9540902776748055
16,B,anc5,34.45762275378765,-32.963124860695594,39.77228523625598,0.9029662914517116,-3.5823762997322177,0.17332647360318548,72.73541009695158,-1.0059474815994733
17,P,anc2,34.20426301689234,-46.02937819121302,39.834508527102884,0.9338934366807985,-2.971772034923958,0.16514854833839954,85.86388671831591,-1.0795634954362239
18,S,anc5,34.14729235580419,-38.017692424025185,39.77689760427241,0.9607468914230403,-3.306205957235708,0.16377521236717496,77.7945900282976,-1.6142122237781622
19,B,anc2,34.85276734270695,-25.343625865988404,39.83444512076722,0.957373070877472,-3.893561627252151,0.18412329340448919,65.17807098675563,-1.3240078286734533
2,BS,anc3,34.72603021212274,-46.47134239312007,39.81471821783277,0.8578861063650989,-3.926560104280782,0.18419863815817292,86.28606061095283,-0.9734315820944667
20,L,anc4,33.95558182610529,-45.708244979218904,39.754157827690996,0.9663475172370424,-3.1858182211241775,0.15990338529008868,85.4624028069099,-1.80628003081959
21,B,anc4,34.46149918583603,-43.34917984352887,39.82202331587413,0.8824764564860146,-3.302099442641674,0.17369721602933436,83.171203159403,-0.7753084193983194
22,C,cc1690,33.807795657458705,-23.255821339783235,39.79044415187821,0.977605198083272,-2.7732733036824584,0.1496257498471449,63.046265491661444,-1.6485892881649669
23,L,anc5,35.137876498009454,-27.62023922629846,39.83850635957443,0.9392815632395752,-4.313744826623791,0.19680325369916427,67.45874558587289,-1.1482493185095486
24,C,anc4,33.21463683919804,-24.20478327297995,39.72594812315108,0.9019619200233465,-2.612204516561607,0.13616318569092617,63.93073139613103,-1.1673859594373661
25,BS,anc2,33.039195104033354,-10.970785084373473,39.74209083174203,0.964004674580655,-2.598730892026759,0.1264671331819562,50.71287591611551,-1.7937331957270728
26,L,anc3,33.60197415459304,-17.718575535814285,39.76455718963442,0.9682759015907586,-2.912828009320777,0.14278424685129246,57.483132725448705,-1.7489776866272229
27,N,anc3,25.584052990026297,6.478415713519113,40.08542860110253,0.630862106691636,-0.04197182738332829,0.016618402257241947,33.60701288758341,-0.959927087631462
28,P,anc5,31.6277154107791,3.2563789611395606,39.70197325610309,0.9213184468616051,-1.5566336520940436,0.08860355055675995,36.44559429496353,-1.3012238472645412
29,P,anc3,31.02178434200136,3.08755267127718,39.62649632826729,0.9690674000237728,-1.3172727601854926,0.08041702333183541,36.53894365699011,-1.8068912788592935
3,N,cc1690,33.40252751426776,13.913814723608175,39.72773393362074,0.9668318884503498,-2.0656184844606678,0.10678585508098722,25.813919210012564,-1.3550235987959751
30,N,anc5,32.90702944874942,-5.397870828155124,39.732061983588075,0.9053296884696613,-2.326735444004694,0.12041312764801172,45.1299328117432,-1.1040737117081776
31,B,cc1690,33.177267516556626,-50.28861151134824,39.710127883367406,0.882304840481297,-2.6443327726378905,0.1410913620980873,89.99873939471566,-1.2630525699173176
32,S,cc1690,33.63496514299593,9.346160358060192,39.75703362470236,0.9178794492810829,-2.8490926118311704,0.12217225349407097,30.41087326664217,-1.3048721562525316
33,L,cc1690,33.921177560629495,-47.08279185061557,39.75242892469847,0.9193671520979056,-2.939438551459541,0.1591447036354635,86.83522077531404,-1.1396692834072462
35,BS,anc4,33.35032209806723,-15.65642119682883,39.666354582941345,0.970292806869619,-2.767168042163889,0.1379218862964307,55.322775779770176,-1.7528594896995826
4,S,anc3,35.275191929510505,-24.683769540193538,39.85993613894193,0.9467638954464108,-4.488466156309218,0.20143660242276432,64.54370567913547,-1.2164459728562655
5,C,anc5,35.82790908539641,-24.314435921555045,39.85116862629801,0.9005766930424793,-5.637566337939553,0.23192746307489118,64.16560454785306,-0.9849344901713515
6,P,cc1690,34.3234261414971,-41.676284180220684,39.78830272560356,0.9478787274695026,-3.096645649733778,0.169828804145336,81.46458690582423,-1.111353992166007
7,B,anc3,34.51475900226215,-17.851268579805886,39.765361362183356,0.973651643086919,-3.8039034631379565,0.171357988479792,57.616629941989245,-1.7789383088536286
8,P,anc4,31.370650970725908,8.829464152947368,39.72462928787174,0.9448020318857525,-0.8912763774187046,0.07534021049245355,30.895165134924365,-1.0972880004171623
9,BS,cc1690,32.091007118232305,5.829051143919939,39.562340413485416,0.9572194109783803,-1.8751780412204349,0.09576702411615946,33.733289269565475,-1.6223593859309065
anc2,none,anc2,32.816437107709405,-5.281383915793643,39.6577472594697,0.9582578508881512,-2.419903481314415,0.11992261213836367,44.93913117526335,-1.644629879230037
anc3,none,anc3,33.49901109706989,8.653237895545875,39.71149275134418,0.9883073590643202,-2.5506905879977144,0.12071797548256644,31.05825485579831,-2.0849100631890862
anc4,none,anc4,33.4958080120568,-43.92030263090892,39.74759095465036,0.9692054461848614,-2.6619321173458563,0.1470371617347334,83.66789358555928,-1.728646621578298
