plate,well,subflow.peaks.cluster,n
9,C03,1,4734
9,C04,1,227
9,C05,1,654
9,C06,1,1
9,C07,1,824
9,C08,1,342
9,C10,1,851
9,D02,1,6573
9,D03,1,12966
9,D04,1,3
9,D05,1,201
9,D06,1,324
9,D07,1,176
9,D09,1,607
9,D10,1,515
9,D11,1,263
9,E02,1,3913
9,E03,1,237
9,E04,1,12152
9,E05,1,624
9,E06,1,2689
9,E07,1,1439
9,E08,1,455
9,E09,1,15786
9,E10,1,422
9,E11,1,1
9,F02,1,804
9,F04,1,460
9,F05,1,6895
9,F06,1,7769
9,F07,1,82
9,F08,1,12944
9,F09,1,164
9,F10,1,5654
9,F11,1,917
9,G02,1,618
9,G03,1,2963
9,G04,1,4782
9,G05,1,447
9,G06,1,687
9,G08,1,518
9,G09,1,478
9,G10,1,1
9,G11,1,1058
10,B02,1,15565
10,B03,1,8799
10,B04,1,1
10,B05,1,10731
10,B06,1,97
10,B07,1,566
10,B08,1,558
10,B09,1,6902
10,B10,1,12
10,B11,1,9359
10,C02,1,4502
10,C03,1,5299
10,C04,1,168
10,C05,1,1203
10,C07,1,1250
10,C08,1,266
10,C09,1,1
10,C10,1,2046
10,C11,1,6
10,D02,1,7962
10,D03,1,16796
10,D04,1,2
10,D05,1,851
10,D06,1,495
10,D07,1,141
10,D09,1,1983
10,D10,1,1428
10,D11,1,403
10,E02,1,7515
10,E03,1,302
10,E04,1,4355
10,E05,1,688
10,E06,1,3642
10,E07,1,850
10,E08,1,1236
10,E09,1,8617
10,E10,1,1470
10,E11,1,1
10,F02,1,1906
10,F04,1,2684
10,F05,1,7041
10,F06,1,6834
10,F07,1,436
10,F08,1,14559
10,F09,1,169
10,F10,1,6550
10,F11,1,1455
10,G02,1,1349
10,G03,1,5207
10,G04,1,7111
10,G05,1,2349
10,G06,1,3185
10,G07,1,3
10,G08,1,1937
10,G09,1,2380
10,G10,1,5
10,G11,1,1747
13,A03,1,6
13,A04,1,1
13,B02,1,1767
13,B03,1,78
13,B05,1,1594
13,B06,1,4
13,B07,1,907
13,B08,1,20
13,B09,1,922
13,B11,1,180
13,C02,1,1576
13,C03,1,1446
13,C04,1,3
13,C05,1,18
