population,volume_needed,combo_needed_divided_x2,combo_needed
1,4.213,0.894,1.787
2,1.511,2.244,4.489
3,18,-6,-12
4,0.407,2.796,5.593
5,12.375,-3.188,-6.375
6,1.347,2.326,4.653
7,0.188,2.906,5.812
8,3.736,1.132,2.264
9,0.115,2.942,5.885
10,1.186,2.407,4.814
11,3.474,1.263,2.526
14,1.98,2.01,4.02
15,0.957,2.522,5.043
16,0.079,2.961,5.921
17,0.524,2.738,5.476
18,1.597,2.201,4.403
19,6.828,-0.414,-0.828
20,3.356,1.322,2.644
21,0.125,2.938,5.875
22,1.707,2.147,4.293
23,11,-2.5,-5
24,6,0,0
25,0.067,2.966,5.933
26,4.304,0.848,1.696
27,1.186,2.407,4.814
28,1.2,2.4,4.8
29,1.722,2.139,4.278
30,0.295,2.852,5.705
31,1.207,2.397,4.793
32,6.828,-0.414,-0.828
33,1.8,2.1,4.2
35,1.722,2.139,4.278
anc2,3.474,1.263,2.526
anc3,0.093,2.954,5.907
anc4,1.597,2.201,4.403
anc5,1.535,2.232,4.465
cc1629,0.868,2.566,5.132
cc1690,4.213,0.894,1.787
