file_name,path,well,plate,Date,time,RFU,population
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,F06,,2018-10-18T00:00:00Z,14:13:34,645,11
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,G06,,2018-10-18T00:00:00Z,14:13:34,209,13
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,B07,,2018-10-18T00:00:00Z,14:13:34,949,2
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,C07,,2018-10-18T00:00:00Z,14:13:34,325,4
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,D07,,2018-10-18T00:00:00Z,14:13:34,263,7
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,E07,,2018-10-18T00:00:00Z,14:13:34,986,9
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,F07,,2018-10-18T00:00:00Z,14:13:34,649,11
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,G07,,2018-10-18T00:00:00Z,14:13:34,205,13
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,B08,,2018-10-18T00:00:00Z,14:13:34,872,2
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,C08,,2018-10-18T00:00:00Z,14:13:34,954,5
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,D08,,2018-10-18T00:00:00Z,14:13:34,261,7
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,E08,,2018-10-18T00:00:00Z,14:13:34,153,8
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,F08,,2018-10-18T00:00:00Z,14:13:34,651,11
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,G08,,2018-10-18T00:00:00Z,14:13:34,157,14
data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-plate,data-raw/globe-chlamy-RFU/globe-2018-10-18-acclimation-,B09,,2018-10-18T00:00:00Z,14:13:34,725,2
