plate_key,population,plate,well,temperature
1,25,1,B02,34
1,25,2,B02,34
1,25,3,B02,34
1,25,4,B02,34
1,25,5,B02,34
1,25,6,B02,34
1,25,7,B02,34
1,25,22,B02,40
1,25,23,B02,40
1,25,24,B02,40
1,25,25,B02,40
1,25,26,B02,40
1,25,27,B02,40
1,25,28,B02,40
1,25,43,B02,28
1,25,44,B02,28
1,25,45,B02,28
1,25,46,B02,28
1,25,47,B02,28
1,25,48,B02,28
1,25,49,B02,28
1,25,64,B02,22
1,25,65,B02,22
1,25,66,B02,22
1,25,67,B02,22
1,25,68,B02,22
1,25,69,B02,22
1,25,70,B02,22
1,25,85,B02,16
1,25,86,B02,16
1,25,87,B02,16
1,25,88,B02,16
1,25,89,B02,16
1,25,90,B02,16
1,25,91,B02,16
1,25,106,B02,10
1,25,107,B02,10
1,25,108,B02,10
1,25,109,B02,10
1,25,110,B02,10
1,25,111,B02,10
1,25,112,B02,10
1,19,1,B03,34
1,19,2,B03,34
1,19,3,B03,34
1,19,4,B03,34
1,19,5,B03,34
1,19,6,B03,34
1,19,7,B03,34
1,19,22,B03,40
1,19,23,B03,40
1,19,24,B03,40
1,19,25,B03,40
1,19,26,B03,40
1,19,27,B03,40
1,19,28,B03,40
1,19,43,B03,28
1,19,44,B03,28
1,19,45,B03,28
1,19,46,B03,28
1,19,47,B03,28
1,19,48,B03,28
1,19,49,B03,28
1,19,64,B03,22
1,19,65,B03,22
1,19,66,B03,22
1,19,67,B03,22
1,19,68,B03,22
1,19,69,B03,22
1,19,70,B03,22
1,19,85,B03,16
1,19,86,B03,16
1,19,87,B03,16
1,19,88,B03,16
1,19,89,B03,16
1,19,90,B03,16
1,19,91,B03,16
1,19,106,B03,10
1,19,107,B03,10
1,19,108,B03,10
1,19,109,B03,10
1,19,110,B03,10
1,19,111,B03,10
1,19,112,B03,10
1,14,1,B04,34
1,14,2,B04,34
1,14,3,B04,34
1,14,4,B04,34
1,14,5,B04,34
1,14,6,B04,34
1,14,7,B04,34
1,14,22,B04,40
1,14,23,B04,40
1,14,24,B04,40
1,14,25,B04,40
1,14,26,B04,40
1,14,27,B04,40
1,14,28,B04,40
1,14,43,B04,28
1,14,44,B04,28
1,14,45,B04,28
1,14,46,B04,28
1,14,47,B04,28
1,14,48,B04,28
1,14,49,B04,28
1,14,64,B04,22
1,14,65,B04,22
1,14,66,B04,22
1,14,67,B04,22
1,14,68,B04,22
1,14,69,B04,22
1,14,70,B04,22
1,14,85,B04,16
1,14,86,B04,16
1,14,87,B04,16
1,14,88,B04,16
1,14,89,B04,16
1,14,90,B04,16
1,14,91,B04,16
1,14,106,B04,10
1,14,107,B04,10
1,14,108,B04,10
1,14,109,B04,10
1,14,110,B04,10
1,14,111,B04,10
1,14,112,B04,10
1,8,1,B05,34
1,8,2,B05,34
1,8,3,B05,34
1,8,4,B05,34
1,8,5,B05,34
1,8,6,B05,34
1,8,7,B05,34
1,8,22,B05,40
1,8,23,B05,40
1,8,24,B05,40
1,8,25,B05,40
1,8,26,B05,40
1,8,27,B05,40
1,8,28,B05,40
1,8,43,B05,28
1,8,44,B05,28
1,8,45,B05,28
1,8,46,B05,28
1,8,47,B05,28
1,8,48,B05,28
1,8,49,B05,28
1,8,64,B05,22
1,8,65,B05,22
1,8,66,B05,22
1,8,67,B05,22
1,8,68,B05,22
1,8,69,B05,22
1,8,70,B05,22
1,8,85,B05,16
1,8,86,B05,16
1,8,87,B05,16
