well,replicate
a01,water
a02,water
a03,1
a04,1
a05,2
a06,2
a07,3
a08,3
a09,4
a10,4
a11,5
a12,5
b01,6
b02,6
b03,7
b04,7
b05,8
b06,8
b07,9
b08,9
b09,10
b10,10
b11,11
b12,11
c01,14
c02,14
c03,15
c04,15
c05,16
c06,16
c07,17
c08,17
c09,18
c10,18
c11,19
c12,19
d01,20
d02,20
d03,21
d04,21
d05,22
d06,22
d07,23
d08,23
d09,24
d10,24
d11,25
d12,25
e01,26
e02,26
e03,27
e04,27
e05,28
e06,28
e07,29
e08,29
e09,30
e10,30
e11,31
e12,31
f01,32
f02,32
f03,33
f04,33
f05,35
f06,35
f07,Anc2
f08,Anc2
f09,Anc3
f10,Anc3
f11,Anc4
f12,Anc4
g01,Anc5
g02,Anc5
g03,CC1690
g04,CC1690
